"product","account","value","cumu_val","total_sum","cumu_perc_val","row_num","max_row_num","cumu_perc_n","flag_for_graphing"
"prod1","MOUNT SINAI HOSPITAL - 0000019371",2552623,2552623,435925530,0.005855640067696884,1,2624,3.8109756097560977e-4,1
"prod1","HENRY FORD HOSPITAL - 0000014365",2209238,4761861,435925530,0.010923565316305287,2,2624,7.621951219512195e-4,1
"prod1","WELLSPAN YORK HOSPITAL - 0000026205",2187971,6949832,435925530,0.015942704709219484,3,2624,0.0011432926829268292,1
"prod1","ALBANY MEDICAL CENTER HOSPITAL - 0000010151",2043106,8992938,435925530,0.020629528167345465,4,2624,0.001524390243902439,1
"prod1","UNIVERSITY OF IOWA HOSPITAL & CLN - 0000024531",2035127,11028065,435925530,0.025298048040453148,5,2624,0.0019054878048780487,1
"prod1","CLEVELAND CLINIC FOUNDATION - 0000012385",1967796,12995861,435925530,0.02981211263309125,6,2624,0.0022865853658536584,1
"prod1","MONTEFIORE MEDICAL CTR MOSES CAMPUS - 0000019239",1951136,14946997,435925530,0.034287959688894566,7,2624,0.0026676829268292685,1
"prod1","ST CLOUD HOSPITAL - 0000022931",1846100,16793097,435925530,0.038522857332994466,8,2624,0.003048780487804878,1
"prod1","UNIVERSITY OF MICHIGAN HOSPITALS - 0000013395",1843126,18636223,435925530,0.042750932710915096,9,2624,0.003429878048780488,1
"prod1","HARTFORD HOSPITAL - 0000015397",1827056,20463279,435925530,0.046942143994181756,10,2624,0.0038109756097560975,1
"prod1","COREWELL HEALTH GRAND RAPIDS HOSP - 0000011611",1807445,22270724,435925530,0.051088368235739715,11,2624,0.004192073170731708,1
"prod1","CEDARS SINAI MEDICAL CENTER - 0000011899",1785672,24056396,435925530,0.05518464587288567,12,2624,0.004573170731707317,1
"prod1","AVERA HEART HOSPITAL - 0000076788",1752881,25809277,435925530,0.0592057019463852,13,2624,0.004954268292682927,1
"prod1","PRESBYTERIAN HOSP IN THE CITY OF NY - 0000020947",1743392,27552669,435925530,0.06320499054047145,14,2624,0.005335365853658537,1
"prod1","SCRIPPS MEMORIAL HOSPITAL LA JOLLA - 0000083709",1721880,29274549,435925530,0.06715493125626297,15,2624,0.005716463414634146,0
"prod1","HEALTHPARK MEDICAL CENTER - 0000015601",1717917,30992466,435925530,0.07109578096974499,16,2624,0.006097560975609756,0
"prod1","ST FRANCIS HOSPITAL - 0000023107",1679999,32672465,435925530,0.07494964793642621,17,2624,0.0064786585365853655,0
"prod1","NYU LANGONE TISCH HOSPITAL - 0000019699",1678349,34350814,435925530,0.0787997298529407,18,2624,0.006859756097560976,0
"prod1","BAPTIST HOSPITAL OF MIAMI - 0000010705",1661039,36011853,435925530,0.08261010315225172,19,2624,0.007240853658536586,0
"prod1","NEW HANOVER REGIONAL MEDICAL CENTER - 0000019715",1647215,37659068,435925530,0.08638876461307508,20,2624,0.007621951219512195,0
"prod1","COREWELL HEALTH WM BEAUMONT U HOSP - 0000010925",1623411,39282479,435925530,0.0901128204168267,21,2624,0.008003048780487805,0
"prod1","BETHESDA NORTH HOSPITAL - 0000011117",1610769,40893248,435925530,0.09380787585439192,22,2624,0.008384146341463415,0
"prod1","SWEDISH MEDICAL CENTER CHERRY HILL - 0000021067",1595957,42489205,435925530,0.09746895301130906,23,2624,0.008765243902439025,0
"prod1","UPMC PRESBYTERIAN - 0000024427",1482329,43971534,435925530,0.10086937096801832,24,2624,0.009146341463414634,1
"prod1","DUKE UNIVERSITY MEDICAL CENTER - 0000013629",1465686,45437220,435925530,0.10423161038537936,25,2624,0.009527439024390244,0
"prod1","HONORHEALTH SCOTTSDALE SHEA MED CTR - 0000029961",1407294,46844514,435925530,0.10745990031829519,26,2624,0.009908536585365854,0
"prod1","INOVA FAIRFAX HOSPITAL - 0000014053",1373679,48218193,435925530,0.11061107845645103,27,2624,0.010289634146341464,0
"prod1","WAKEMED RALEIGH CAMPUS - 0000025457",1373110,49591303,435925530,0.11376095132579181,28,2624,0.010670731707317074,0
"prod1","UNIVERSITY OF WASHINGTON MED CTR - 0000024637",1361058,50952361,435925530,0.11688317727112701,29,2624,0.011051829268292682,0
"prod1","NORTON AUDUBON HOSPITAL - 0000016215",1346740,52299101,435925530,0.11997255815689437,30,2624,0.011432926829268292,0
"prod1","PARKWEST MEDICAL CENTER - 0000020491",1311926,53611027,435925530,0.12298207677811392,31,2624,0.011814024390243903,0
"prod1","NORTHWESTERN MEMORIAL HOSPITAL - 0000019973",1308215,54919242,435925530,0.12598308247741305,32,2624,0.012195121951219513,0
"prod1","BRIGHAM & WOMENS HOSPITAL - 0000011419",1237248,56156490,435925530,0.12882129202205708,33,2624,0.012576219512195123,0
"prod1","MEMORIAL HERMANN TEXAS MEDICAL CTR - 0000015761",1230635,57387125,435925530,0.13164433154442687,34,2624,0.012957317073170731,0
"prod1","LAHEY HOSPITAL & MEDICAL CENTER - 0000017247",1226104,58613229,435925530,0.13445697708964188,35,2624,0.013338414634146341,0
"prod1","HOUSTON METHODIST HOSPITAL - 0000018967",1219103,59832332,435925530,0.1372535625523011,36,2624,0.013719512195121951,0
"prod1","BEN TAUB GENERAL HOSPITAL - 0000026317",1209186,61041518,435925530,0.14002739871647343,37,2624,0.014100609756097561,0
"prod1","LEXINGTON MEDICAL CENTER - 0000017561",1167261,62208779,435925530,0.14270506019686435,38,2624,0.014481707317073171,0
"prod1","ROBERT WOOD JOHNSON UNIVERSITY HOSP - 0000016705",1164912,63373691,435925530,0.14537733314219978,39,2624,0.01486280487804878,0
"prod1","MOUNT SINAI MEDICAL CENTER - 0000019381",1164273,64537964,435925530,0.14804814024083426,40,2624,0.01524390243902439,0
"prod1","ADVENTHEALTH OCALA - 0000573724",1161858,65699822,435925530,0.15071340740240655,41,2624,0.015625,1
"prod1","COMMUNITY HOSPITAL - 0000012669",1158454,66858276,435925530,0.15337086589078644,42,2624,0.01600609756097561,0
"prod1","METHODIST HOSPITAL - 0000022633",1156855,68015131,435925530,0.15602465632145932,43,2624,0.01638719512195122,0
"prod1","SARASOTA MEMORIAL HOSPITAL - 0000018529",1129860,69144991,435925530,0.15861652103743498,44,2624,0.01676829268292683,0
"prod1","MIAMI VALLEY HOSPITAL - 0000018987",1125272,70270263,435925530,0.16119786101997743,45,2624,0.01714939024390244,0
"prod1","CAROLINAS MEDICAL CENTER - 0000011771",1122893,71393156,435925530,0.1637737436483704,46,2624,0.01753048780487805,0
"prod1","UVA UNIVERSITY HOSPITAL - 0000024447",1115811,72508967,435925530,0.16633338038265388,47,2624,0.017911585365853657,0
"prod1","LEHIGH VALLEY HOSPITAL CEDAR CREST - 0000010203",1109933,73618900,435925530,0.1688795331624647,48,2624,0.018292682926829267,0
"prod1","YALE NEW HAVEN HOSPITAL - 0000026183",1096429,74715329,435925530,0.17139470817412322,49,2624,0.018673780487804877,0
"prod1","BAPTIST HEALTH MEDICAL CTR LITTLE R - 0000010747",1092669,75807998,435925530,0.17390125785934124,50,2624,0.019054878048780487,0
"prod1","WHITE PLAINS HOSPITAL CENTER - 0000025871",1086354,76894352,435925530,0.17639332112528486,51,2624,0.019435975609756097,0
"prod1","UCSF MEDICAL CENTER - 0000018163",1077686,77972038,435925530,0.17886550026101936,52,2624,0.019817073170731708,0
"prod1","ST LUKES HOSPITAL OF KANSAS CITY - 0000023423",1066838,79038876,435925530,0.18131279441238507,53,2624,0.020198170731707318,0
"prod1","MUSC HEALTH UNIVERSITY HOSPITAL - 0000018331",1066491,80105367,435925530,0.18375929255623089,54,2624,0.020579268292682928,0
"prod1","TORRANCE MEMORIAL MEDICAL CTR - 0000024179",1051526,81156893,435925530,0.18617146144204952,55,2624,0.020960365853658538,0
"prod1","PIEDMONT HOSPITAL - 0000020807",1043783,82200676,435925530,0.1885658681197222,56,2624,0.021341463414634148,0
"prod1","TUCSON MEDICAL CENTER - 0000024305",1039152,83239828,435925530,0.19094965142326029,57,2624,0.021722560975609755,0
"prod1","ADVENTHEALTH LITTLETON - 0000029911",1021264,84261092,435925530,0.19329240019505167,58,2624,0.022103658536585365,0
"prod1","NOVANT HEALTH FORSYTH MEDICAL CTR - 0000014333",1018417,85279509,435925530,0.19562861803482812,59,2624,0.022484756097560975,0
"prod1","NORTHSIDE HOSPITAL GWINNETT - 0000015279",1018238,86297747,435925530,0.1979644252540107,60,2624,0.022865853658536585,0
"prod1","PARKVIEW MEDICAL CENTER - 0000020535",1016418,87314165,435925530,0.20029605744816092,61,2624,0.023246951219512195,1
"prod1","CHARLESTON AREA MEDICAL CENTER INC - 0000012063",1013948,88328113,435925530,0.20262202353691008,62,2624,0.023628048780487805,0
"prod1","FREEMAN HOSPITAL WEST - 0000014485",1011529,89339642,435925530,0.20494244051271784,63,2624,0.024009146341463415,0
"prod1","JACKSON MADISON COUNTY - 0000016563",1010093,90349735,435925530,0.2072595633478957,64,2624,0.024390243902439025,0
